BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,others,1,8453.0,1183.0,8,Semi-Furnished,East,Available,2,1,Garden/Park,Bangalore
4+,others,7.50,17751.0,4225.0,10+,Furnished,East,Available,4+,3,"Garden/Park, Pool",Bangalore
4+,others,6.30,26250.0,2400.0,1,Semi-Furnished,North - East,Available,4+,4,Main Road,Bangalore
2,others,0.35,4944.0,708.0,10,Unfurnished,North,Available,2,1,,Bangalore
2,others,0.73,9481.0,770.0,10,Semi-Furnished,East,Available,2,1,Main Road,Bangalore
3,others,1.83,9304.0,1967.0,10+,Unfurnished,East,Available,3,3,Garden/Park,Bangalore
3,others,1.60,8565.0,1868.0,10+,Unfurnished,North - East,Available,3,2,Garden/Park,Bangalore
4,others,8.55,15055.0,5679.0,3,Unfurnished,East,Available,4,3,Garden/Park,Bangalore
2,others,1.19,10000.0,1198.0,10+,Unfurnished,East,Available,2,1,Main Road,Bangalore
2,others,0.5379999999999999,4674.0,1151.0,3,Unfurnished,East,May be not,2,2,"Garden/Park, Pool, Main Road",Bangalore
4,Whitefield,5.07,12366.0,4100.0,10+,Unfurnished,East,Available,3,,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.49,4272.0,1147.0,2,Unfurnished,North,May be not,2,1,Main Road,Bangalore
3,Whitefield,1.12,8302.0,1349.0,6,Unfurnished,East,May be not,2,2,"Garden/Park, Pool, Main Road",Bangalore
2,JP Nagar,0.809,7333.0,1103.0,1,Unfurnished,East,Available,2,2,Main Road,Bangalore
3,Outer Ring Road,2.34,14060.0,1664.0,5,Unfurnished,East,Available,3,2,,Bangalore
3,Sarjapura,2,13755.0,1454.0,10+,Semi-Furnished,East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,3.50,16667.0,2100.0,2,Unfurnished,East,May be not,3,4,Main Road,Bangalore
4,JP Nagar,4.50,12694.0,3545.0,10+,Unfurnished,East,May be not,4+,3,"Garden/Park, Pool, Main Road",Bangalore
2,others,0.92,8949.0,1028.0,6,Unfurnished,East,May be not,2,1,Garden/Park,Bangalore
2,others,0.68,5913.0,1150.0,1,Unfurnished,East,Available,2,2,Main Road,Bangalore
2,others,0.52,4160.0,1250.0,2,Unfurnished,North,May be not,2,2,"Garden/Park, Main Road",Bangalore
3,others,2.65,11497.0,2305.0,10+,Semi-Furnished,North,Available,3,1,Garden/Park,Bangalore
3,others,1.40,7568.0,1850.0,1,Unfurnished,East,May be not,3,2,Main Road,Bangalore
3,Hennur Main Road,1.65,9483.0,1740.0,10+,Semi-Furnished,West,May be not,3,1,"Pool, Garden/Park, Main Road",Bangalore
3,others,1.30,8916.0,1458.0,7,Unfurnished,East,May be not,2,1,Garden/Park,Bangalore
2,Whitefield,1.19,9599.0,1240.0,3,Unfurnished,East,Available,2,1,Main Road,Bangalore
3,others,1.36,8521.0,1596.0,9,Unfurnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,Jayanagar,2.40,11429.0,2100.0,1,Unfurnished,East,Available,3,2,Main Road,Bangalore
2,others,0.74,7327.0,1010.0,5,Unfurnished,North,Available,2,1,Garden/Park,Bangalore
2,Yelahanka,0.531,4799.0,1106.0,10+,Semi-Furnished,North,Available,2,1,,Bangalore
3,Whitefield,6,14634.0,4100.0,10+,Semi-Furnished,East,Available,4,1,Garden/Park,Bangalore
3,Whitefield,4.79,17399.0,2753.0,10+,Unfurnished,East,Available,3,1,Garden/Park,Bangalore
3,others,2.80,12727.0,2200.0,2,Unfurnished,East,Available,3,1,Garden/Park,Bangalore
3,others,1.70,8763.0,1940.0,,Unfurnished,East,Available,4,2,"Garden/Park, Main Road",Bangalore
3,others,4.75,18686.0,2542.0,9,Unfurnished,East,Available,4,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.91,12700.0,1504.0,4,Unfurnished,North,Available,3,2,Garden/Park,Bangalore
4,others,1.94,9525.0,2037.0,10+,Unfurnished,North,Available,3,3,Garden/Park,Bangalore
3,Outer Ring Road,0.77,5923.0,1300.0,1,Unfurnished,East,May be not,2,2,Main Road,Bangalore
3,Whitefield,2.84,13225.0,2147.0,5,Unfurnished,North,Available,3,2,,Bangalore
3,Hennur Main Road,3.60,13699.0,2628.0,10,Unfurnished,East,Available,3,2,Garden/Park,Bangalore
2,others,1.55,10877.0,1425.0,10+,Unfurnished,East,Available,2,1,"Garden/Park, Main Road",Bangalore
3,Whitefield,0.9890000000000001,7200.0,1374.0,3,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
4,others,2.50,10417.0,2400.0,10,Unfurnished,East,Available,4,2,Garden/Park,Bangalore
2,Sarjapur Road,0.757,5711.0,1326.0,2,Unfurnished,East,Available,2,2,Garden/Park,Bangalore
3,others,6.20,28837.0,2150.0,6,Unfurnished,North,Available,3,3,"Pool, Garden/Park, Main Road",Bangalore
3,others,2.05,10518.0,1949.0,10+,Unfurnished,East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
2,others,1.18,10433.0,1131.0,10,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,others,2.85,15798.0,1804.0,10+,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
4,others,4.42,13895.0,3181.0,10+,Semi-Furnished,North,Available,4,1,Garden/Park,Bangalore
2,others,0.593,5300.0,1119.0,2,Unfurnished,East,May be not,2,2,Main Road,Bangalore
4,others,8,18661.0,4287.0,3,Unfurnished,East,Available,4+,3,,Bangalore
3,others,2.26,9091.0,2486.0,5,Semi-Furnished,North,May be not,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,Thanisandra,2.90,17211.0,1685.0,10+,Unfurnished,East,Available,3,,"Garden/Park, Main Road",Bangalore
2,Whitefield,0.86,7900.0,1089.0,5,Unfurnished,East,May be not,2,1,"Garden/Park, Pool",Bangalore
